Power Supplies: ADP3334
 Output Voltage:
  Vout = 1.178 ( R1/R2 + 1 )

R1; R2(connect to gnd);    Vout         R parallel(close as possible to 50kΩ)
11.8	75.0		1.3633		10.196
20	127		1.3635		17.279
30.1	191		1.3636		26.002
52.3	332		1.3636		45.182
64.9	412		1.3636		56.068
43.2	274		1.3637		37.317
100	634		1.3638		86.376
88.7	562		1.3639		76.609
22.1	140		1.364		19.087
75.0	475		1.364		64.773
16.9	107		1.3641		14.595
33.2	210		1.3642		28.668
23.7	147		1.3679		20.409
15.4	95.3		1.3684		13.258
90.9	562		1.3685		78.244
30.9	191		1.3686		26.597
32.4	200		1.3688		27.883
20	121		1.3727		17.163
30.1	182		1.3728		25.828
54.9	332		1.3728		47.11
15.4	93.1		1.3729		13.214
60.4	365		1.3729		51.824
75.0	453		1.373		64.347
93.1	562		1.3731		79.869
78.7	475		1.3732		67.514
33.2	200		1.3735		28.473
107	634		1.3768		91.549
16.9	100		1.3771		14.457
23.7	140		1.3774		20.269
24.9	147		1.3775		21.293
15.4	90.9		1.3776		13.169
32.4	191		1.3778		27.701
61.9	365		1.3778		52.925
95.3	562		1.3778		81.483
30.9	182		1.378		26.415
15.4	88.7		1.3825		13.122
75.0	432		1.3825		63.905
52.3	301		1.3827		44.558
78.7	453		1.3827		67.051
33.2	191		1.3828		28.284
22.1	127		1.383		18.824
16.9	95.3		1.3869		14.354
24.9	140		1.3875		21.14
64.9	365		1.3875		55.102
84.5	475		1.3876		71.738
100	562		1.3876		84.894
32.4	182		1.3877		27.504
30.1	169		1.3878		25.549
16.9	93.1		1.3918		14.304
60.4	332		1.3923		51.103
75.0	412		1.3924		63.45
78.7	432		1.3926		66.572
15.4	84.5		1.3927		13.026
43.2	237		1.3927		36.54
33.2	182		1.3929		28.078
54.9	301		1.3929		46.431
22.1	121		1.3932		18.687
30.9	169		1.3934		26.124
30.1	162		1.3969		25.384
16.9	90.9		1.397		14.251
61.9	332		1.3976		52.173
84.5	453		1.3977		71.216
23.7	127		1.3978		19.973
88.7	475		1.398		74.743
20	107		1.3982		16.85
107	562		1.4023		89.886
16.9	88.7		1.4024		14.195
30.9	162		1.4027		25.95
52.3	274		1.4029		43.917
78.7	412		1.403		66.078
90.9	475		1.4034		76.299
32.4	169		1.4038		27.188
64.9	332		1.4083		54.288
84.5	432		1.4084		70.676
15.4	78.7		1.4085		12.88
23.7	121		1.4087		19.818
88.7	453		1.4087		74.176
93.1	475		1.4089		77.843
24.9	127		1.409		20.818
33.2	169		1.4094		27.749
16.9	84.5		1.4136		14.083
20	100		1.4136		16.667
32.4	162		1.4136		27.0
54.9	274		1.414		45.736
95.3	475		1.4143		79.375
60.4	301		1.4144		50.305
90.9	453		1.4144		75.708
30.1	147		1.4192		24.984
33.2	162		1.4194		27.553
84.5	412		1.4196		70.119
15.4	75.0		1.4199		12.777
88.7	432		1.4199		73.59
75.0	365		1.4201		62.216
93.1	453		1.4201		77.228
43.2	210		1.4203		35.829
61.9	301		1.4203		51.342
24.9	121		1.4204		20.65
22.1	107		1.4213		18.317
20	95.3		1.4252		16.531
30.9	147		1.4256		25.533
95.3	453		1.4258		78.736
90.9	432		1.4259		75.098
100	475		1.426		82.609
16.9	78.7		1.431		13.912
20	93.1		1.4311		16.463
30.1	140		1.4313		24.774
88.7	412		1.4316		72.987
121	562		1.4316		99.564
93.1	432		1.4319		76.593
64.9	301		1.432		53.389
78.7	365		1.432		64.741
43.2	200		1.4324		35.526
20	90.9		1.4372		16.393
32.4	147		1.4376		26.548
60.4	274		1.4377		49.49
90.9	412		1.4379		74.47
95.3	432		1.4379		78.076
30.9	140		1.438		25.313
52.3	237		1.438		42.845
100	453		1.438		81.917
22.1	100		1.4383		18.1
23.7	107		1.4389		19.402
16.9	75.0		1.4434		13.792
107	475		1.4434		87.328
20	88.7		1.4436		16.32
33.2	147		1.4441		27.083
61.9	274		1.4441		50.493
75.0	332		1.4441		61.179
93.1	412		1.4442		75.94
43.2	191		1.4444		35.231
95.3	412		1.4505		77.397
32.4	140		1.4506		26.311
84.5	365		1.4507		68.615
100	432		1.4507		81.203
54.9	237		1.4509		44.575
22.1	95.3		1.4512		17.94
24.9	107		1.4521		20.199
107	453		1.4562		86.555
20	84.5		1.4568		16.172
64.9	274		1.457		52.472
23.7	100		1.4572		19.159
30.1	127		1.4572		24.333
78.7	332		1.4572		63.619
33.2	140		1.4574		26.836
15.4	64.9		1.4575		12.447
22.1	93.1		1.4576		17.86
43.2	182		1.4576		34.913
100	412		1.4639		80.469
88.7	365		1.4643		71.359
22.1	90.9		1.4644		17.778
30.9	127		1.4646		24.853
107	432		1.4698		85.759
23.7	95.3		1.471		18.98
30.1	121		1.471		24.104
15.4	61.9		1.4711		12.332
24.9	100		1.4713		19.936
52.3	210		1.4714		41.872
90.9	365		1.4714		72.776
22.1	88.7		1.4715		17.692
75.0	301		1.4715		60.04
20	78.7		1.4774		15.947
84.5	332		1.4778		67.357
23.7	93.1		1.4779		18.891
121	475		1.4781		96.435
60.4	237		1.4782		48.133
15.4	60.4		1.4784		12.271
32.4	127		1.4785		25.814
93.1	365		1.4785		74.179
30.9	121		1.4788		24.614
43.2	169		1.4791		34.405
107	412		1.4839		84.94
16.9	64.9		1.4848		13.408
23.7	90.9		1.4851		18.799
95.3	365		1.4856		75.569
61.9	237		1.4857		49.081
24.9	95.3		1.4858		19.742
33.2	127		1.4859		26.32
52.3	200		1.486		41.459
54.9	210		1.486		43.522
78.7	301		1.486		62.388
22.1	84.5		1.4861		17.518
20	75.0		1.4921		15.789
43.2	162		1.4921		34.105
88.7	332		1.4927		69.999
121	453		1.4927		95.493
23.7	88.7		1.4928		18.703
24.9	93.1		1.4931		19.646
32.4	121		1.4934		25.557
16.9	61.9		1.4996		13.276
75.0	274		1.5004		58.883
90.9	332		1.5005		71.362
52.3	191		1.5006		41.058
64.9	237		1.5006		50.948
24.9	90.9		1.5007		19.546
100	365		1.5007		78.495
33.2	121		1.5012		26.052
54.9	200		1.5014		43.076
16.9	60.4		1.5076		13.205
121	432		1.5079		94.524
93.1	332		1.5083		72.71
127	453		1.5083		99.191
15.4	54.9		1.5084		12.026
23.7	84.5		1.5084		18.509
